"Category","Name","Brand","Price_Current","Price_MRP","Price_Show","Discount","Rating","Reviews","Units_Sold","Seller","Seller_ID","Location","In_Stock","SKU_ID","Product_ID","Product_URL","Image_URL","Scraped_At","Discount_Pct"
"Mens Fashion","Hot Collection Stylish and Fashionable Low Top Winter and Summer Exclusive Converse Sneakers for Men - Comfortable and Suitable for All Seasons","No Brand",462,2112,"৳ 462","78% Off",3.35559265442404,599,"2.4K sold","Best-Collection-BD","700504920095","Dhaka",TRUE,"1327289189","298867343","https://www.daraz.com.bd/products/-i298867343.html","https://static-01.daraz.com.bd/p/4c10044ebb532c2d2ba6780695be5336.jpg","2026-05-06 20:21:12",78
"Mens Fashion","Lofarlace/Shoelece/Shoe lace/Bootlace/Jutar fita","No Brand",56,210,"৳ 56","73% Off",4.57358490566038,265,"2.6K sold","Brothers Garments","1031923","Dhaka",TRUE,"1675948424","327795454","https://www.daraz.com.bd/products/lofarlaceshoeleceshoe-lacebootlacejutar-fita-i327795454.html","https://static-01.daraz.com.bd/p/14fa3f1fcc1fe6e453b7d37857169d28.jpg","2026-05-06 20:21:12",73
"Mens Fashion","Printed Comfort Style with Half Sleeve Round Collar T-Shirt For Men - Comfort for Everyday Wear","No Brand",90.68,199,"৳ 91","54% Off",2.71428571428571,21,"101 sold","Lipi Cloth Mart","700867296653","Dhaka",TRUE,"2544019373","528896795","https://www.daraz.com.bd/products/-i528896795.html","https://static-01.daraz.com.bd/p/a86fd0be1ef103f774e6860434427afb.jpg","2026-05-06 20:21:12",54
"Mens Fashion","2 Pcs Stays Holders Elastic Shirt Garter Non-Slip Locking Clamps Uniform - Keep Shirt In Place Stays Holders Elastic Garters","No Brand",220,600,"৳ 220","63% Off",4.49919093851133,1236,"7.7K sold","RS Belt Gallery","1024876","Dhaka",TRUE,"1048712863","128906391","https://www.daraz.com.bd/products/2-pcs-stays-holders-elastic-shirt-garter-non-slip-locking-clamps-uniform-keep-shirt-in-place-stays-holders-elastic-garters-i128906391.html","https://static-01.daraz.com.bd/p/822076ce5252a908d7452cd67a5580c0.jpg","2026-05-06 20:21:12",63
"Mens Fashion","2 pieces men Elestie Garter Belt Sock Shirt holder","No Brand",194,1250,"৳ 194","84% Off",4.49526813880126,317,"1.8K sold","ALIF LEATHER CORNER","2534","Dhaka",TRUE,"1270225610","232100873","https://www.daraz.com.bd/products/2-i232100873.html","https://static-01.daraz.com.bd/p/3641584e9b3ddfe169f9bcdbc2d5a285.jpg","2026-05-06 20:21:12",84
"Mens Fashion","Unisex Orthotic Arch Support Sport Insole Shoe Pad - Foot Comfort","No Brand",177,250,"৳ 177","29% Off",4.38780260707635,2148,"10.9K sold","Express Brindabon","700510155067","Dhaka",TRUE,"2532243942","254170172","https://www.daraz.com.bd/products/unisex-orthotic-arch-support-sport-insole-shoe-pad-foot-comfort-i254170172.html","https://static-01.daraz.com.bd/p/4d6c70e1568e6e9661161d6fc656c2fb.jpg","2026-05-06 20:21:12",29
"Mens Fashion","Official Shoe lace 1 Pair/ Round Shoe Lace for Boots and Office Shoes/ Formal Shoe lace","No Brand",72,250,"৳ 72","71% Off",4.74074074074074,27,"277 sold","WISHING STAR","700678032198","Dhaka",TRUE,"2503899305","520313016","https://www.daraz.com.bd/products/1-i520313016.html","https://static-01.daraz.com.bd/p/e172e66a9b1c14fe99fb3bae41127a06.jpg","2026-05-06 20:21:12",71
"Mens Fashion","Black And White Ny Cotton Casual Cap For Men - Cap For Men - Cap","No Brand",114,499,"৳ 114","77% Off",4.75067024128686,1406,"7.0K sold","A-MAN's -  Choice.Selection","700693664483","Dhaka",TRUE,"1839331641","368394195","https://www.daraz.com.bd/products/black-and-white-ny-cotton-casual-cap-for-men-cap-for-men-cap-i368394195.html","https://bd-live-21.slatic.net/kf/S927fec809ae2499496610af26df98db1S.jpg","2026-05-06 20:21:12",77
"Mens Fashion","Unisex Orthopedic Sports Insoles – Shock Absorbing, Breathable & Supportive Running Shoe Inserts (Orange)","No Brand",167,400,"৳ 167","58% Off",4.69772481040087,923,"6.6K sold","Daily Deals - Choice. .Selection","700690352765","Dhaka",TRUE,"2546799819","530122159","https://www.daraz.com.bd/products/unisex-orthopedic-sports-insoles-shock-absorbing-breathable-supportive-running-shoe-inserts-orange-i530122159.html","https://bd-live-21.slatic.net/kf/Se81d3827e8a94beca4d1ff3f097d89f4J.jpg","2026-05-06 20:21:12",58
"Mens Fashion","Height Increase Orthopedic Insoles – Arch Support Heel Lift Shoe Pads for Men & Women, Ideal for Sneakers & Flat Feet","No Brand",99,315,"৳ 99","69% Off",4.5635593220339,236,"2.2K sold","Daily Deals - Choice. .Selection","700690352765","Dhaka",TRUE,"2546730089","529964023","https://www.daraz.com.bd/products/height-increase-orthopedic-insoles-arch-support-heel-lift-shoe-pads-for-men-women-ideal-for-sneakers-flat-feet-i529964023.html","https://bd-live-21.slatic.net/kf/S87b720d04af14f52a159b91b24c34a54o.jpg","2026-05-06 20:21:12",69
